,File Name,Flight Number,Departure Airport,Arrival Airport,Aircraft Registration,Scheduled Time of Departure,Flight Date
217,202502132335592339728.xml,HA327,KOA,HNL,N480HA,02:05:00Z,2025-02-14
218,202502130240532333886.xml,HA1629,CVG,PDX,N4787K,05:40:00Z,2025-02-13
219,202502132203562339001.xml,HA68,LIH,OAK,N209HA,23:45:00Z,2025-02-13
220,202502131451092336314.xml,HA104,LIH,HNL,N493HA,16:00:00Z,2025-02-13
221,202502131521092336472.xml,HA134,LIH,HNL,N476HA,17:40:00Z,2025-02-13
222,202502131935502337981.xml,HA821,HNL,NRT,N375HA,21:10:00Z,2025-02-13
223,202502132210432339044.xml,HA20,HNL,SMF,N361HA,00:00:00Z,2025-02-14
224,202502132106572338530.xml,HA57,OAK,OGG,N230HA,21:30:00Z,2025-02-13
225,202502130105552333407.xml,HA391,ITO,HNL,N493HA,04:45:00Z,2025-02-13
226,202502132305522339484.xml,HA287,KOA,HNL,N494HA,00:15:00Z,2025-02-14
227,202502131530432336514.xml,HA146,HNL,OGG,N480HA,16:40:00Z,2025-02-13
228,202502131823502337621.xml,HA184,LIH,HNL,N490HA,20:43:00Z,2025-02-13
229,202502131030442335618.xml,HA452,SYD,HNL,N389HA,10:40:00Z,2025-02-13
230,202502130105552333406.xml,HA376,HNL,OGG,N493HA,02:15:00Z,2025-02-13
231,202502132309202339514.xml,HA80,HNL,ONT,N208HA,00:15:00Z,2025-02-14
232,202502131605552336691.xml,HA153,HNL,LIH,N490HA,17:15:00Z,2025-02-13
233,202502130235422333865.xml,HA503,HNL,LIH,N483HA,03:45:00Z,2025-02-13
234,202502131521092336473.xml,HA133,HNL,LIH,N476HA,16:30:00Z,2025-02-13
235,202502130320472334071.xml,HA561,ITO,HNL,N489HA,05:55:00Z,2025-02-13
236,202502131550392336601.xml,HA127,KOA,HNL,N495HA,17:00:00Z,2025-02-13
237,202502132335592339729.xml,HA338,HNL,KOA,N480HA,00:45:00Z,2025-02-14
238,202502132347412339819.xml,HA327,KOA,HNL,N483HA,02:05:00Z,2025-02-14
239,202502131103002335660.xml,HA1617,PDX,CVG,N5843K,14:00:00Z,2025-02-13
240,202502131651282336985.xml,HA165,OGG,HNL,N492HA,19:15:00Z,2025-02-13
241,202502132105552338528.xml,HA251,ITO,HNL,N490HA,23:40:00Z,2025-02-13
242,202502131840552337709.xml,HA216,HNL,OGG,N477HA,19:50:00Z,2025-02-13
243,202502132019492338219.xml,HA201,ITO,HNL,N494HA,21:29:00Z,2025-02-13
244,202502132038272338332.xml,HA8042,HNL,OGG,N391HA,22:15:00Z,2025-02-13
245,202502132030112338281.xml,HA16,HNL,SAN,N370HA,22:15:00Z,2025-02-13
246,202502130141042333617.xml,HA388,HNL,KOA,N491HA,02:50:00Z,2025-02-13
247,202502132334262339718.xml,HA48,HNL,OAK,N226HA,22:55:00Z,2025-02-13
248,202502131920492337909.xml,HA207,KOA,HNL,N483HA,21:50:00Z,2025-02-13
249,202502131955302338074.xml,HA1623,SBD,HNL,N4621K,22:00:00Z,2025-02-13
250,202502131821182337591.xml,HA197,KOA,HNL,N478HA,20:50:00Z,2025-02-13
251,202502132123492338647.xml,HA283,HNL,LIH,N477HA,22:33:00Z,2025-02-13
